product_code,Business Unit,Type,Products Business Line Leader,Subtype,Product Name,Brand Name,Brand Manager
10042766,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,CONTAINER,Alchemy Jug (Blue),ARCANTIC,Enthoril Murkywaters
10047934,COMMISSIONS,TOOLS & KITS,Kay Glimshine,TOOLS,Legendary Crafting Components,SABLE,Nundro Rockseeker
10098969,LUXURY SPECIALTIES,MUSICAL INSTRUMENT,Balthazaar Viscari,STRING INSTRUMENT,Siren Song Lyre,MYTHAL,Arentian Mythrandius
10111608,LUXURY SPECIALTIES,POTIONS & SCROLLS,Bruno Notlot,SCROLL,Illuminators Tattoo Enchantment,SABLE,Nundro Rockseeker
10247925,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,LIGHT ARMOUR,Leather Armour,RED CURTAIN,Siras Invictus
10289184,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,IOUN STONE,Ioun Stone - Natural Knowledge,SABLE,Nundro Rockseeker
10338620,COMMISSIONS,ARMS & ARMOUR,T'avin T'soban,LIGHT ARMOUR,Hide of the Feral Guardian,RED CURTAIN,Siras Invictus
10376032,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Needle of Mending,MYTHAL,Arentian Mythrandius
10389747,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,WAND,Wand of Conducting,U.N.N.,Ruralion Baeneduren
10401391,ADVENTURING,ANIMALS & TRANSPORTATION,Shade Tabaxii,MOUNT,Donkey,RED CURTAIN,Siras Invictus
10420162,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Dimensional Shackles,MYTHAL,Arentian Mythrandius
10439225,ADVENTURING,TOOLS & KITS,Kay Glimshine,CONTAINER,Burlap Sack (Set of 20),U.N.N.,Ruralion Baeneduren
10548505,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,HELMET,Helm of Telepathy,U.N.N.,Ruralion Baeneduren
